11015108,13.4,18 53 21.667,+48 32 56.54,283.34025,48.54903,5715,4.343,18534+4833,KOI 344,AC   ,2014,2014,211,211,3.6,3.6,11.9,17.2,K   ,0.086,13.841,13.367,12.303,12.261,0.474,0.63,1.941,1.538,0.024,0.916,93
11015108,13.4,18 53 21.667,+48 32 56.54,283.34025,48.54903,5715,4.343,18534+4833,KOI 344,AB   ,2014,2014,179,179,4.1,4.1,11.9,15.4,K   ,0.086,13.841,13.367,12.303,12.261,0.474,0.63,1.941,1.538,0.024,0.916,93
5938970,14.073,18 53 22.678,+41 12 06.26,283.3445,41.20175,4224,4.588,18534+4112,KOI4016,AB   ,2013,2013,210,210,1.8,1.8,11.5,19.1,K   ,0.034,15.176,14.036,12.25,12.216,1.14,1.576,3.657,2.926,0.031,0.826,389
5938970,14.073,18 53 22.678,+41 12 06.26,283.3445,41.20175,4224,4.588,18534+4112,KOI4016,AC   ,2013,2013,186,186,3.3,3.3,11.5,16.7,K   ,0.034,15.176,14.036,12.25,12.216,1.14,1.576,3.657,2.926,0.031,0.826,389
5938970,14.073,18 53 22.678,+41 12 06.26,283.3445,41.20175,4224,4.588,18534+4112,KOI4016,AD   ,1999,2013,35,36,5.6,5.6,13.51,17.47,R   ,0.034,15.176,14.036,12.25,12.216,1.14,1.576,3.657,2.926,0.031,0.826,389
6422155,14.532,18 53 28.416,+41 49 18.70,283.36837,41.82183,5355,4.388,18535+4149,KOI 510,     ,2014,2014,348,348,2.5,2.5,14.5,17,R   ,0.102,15.093,14.445,13.169,13.298,0.648,0.801,2.301,1.924,0.038,0.772,111
5340403,13.486,18 53 34.354,+40 30 23.22,283.39321,40.50642,5932,4.424,18535+4030,DEA 158,     ,1999,2013,108,109,7.8,7.8,12.15,14.51,V K ,0.093,13.879,13.433,12.426,12.181,0.446,0.562,1.732,1.453,0.034,0.885,125
8866830,13.735,18 53 54.662,+45 09 02.92,283.47775,45.15081,4901,4.437,18539+4509,DEA 426,     ,1998,2013,123,123,23.9,24.1,14,16.7,V   ,0.063,14.435,13.662,12.278,12.264,0.773,0.999,2.73,2.157,0.015,0.885,235
6183676,13.553,18 53 55.032,+41 35 33.83,283.47929,41.59272,4984,4.166,18539+4135,DEA 287,     ,1999,2013,203,202,12,11.7,13.8,16.1,V   ,0.081,14.26,13.493,12.13,12.081,0.767,1.01,2.659,2.13,0.02,0.833,179
10713616,13.498,18 54 07.910,+48 05 39.34,283.53296,48.09425,5920,4.204,18541+4806,KOI1311,     ,2014,2014,176,176,0.4,0.4,12.1,16.3,K   ,0.102,13.885,13.441,12.429,12.376,0.444,0.553,1.767,1.456,0.022,0.908,23
4989518,13.627,18 54 47.530,+40 10 49.51,283.69808,40.18047,5291,4.466,18547+4010,DEA 454,     ,1999,2013,55,56,33.3,33.4,13.8,17.1,V   ,0.075,14.163,13.6,12.34,12.298,0.563,0.766,2.256,1.823,0.03,0.921,176
10190777,13.59,18 54 52.207,+47 12 16.02,283.7175,47.20444,4212,4.55,18549+4712,KOI1937,     ,2012,2012,244,244,2.3,2.3,11,15.7,K   ,0.029,14.686,13.546,11.766,11.739,1.14,1.565,3.683,2.92,0.021,0.889,419
5855851,14.495,18 54 59.054,+41 09 21.20,283.74621,41.15592,3504,4.012,18549+4109,DEA 438,     ,1999,2013,26,26,25.7,25.7,15.6,18,V   ,0.046,16.357,14.927,11.675,11.638,1.43,2.66,5.473,4.682,0.034,0.783,188
5253802,13.641,18 55 21.318,+40 25 19.10,283.83879,40.42197,,,18554+4025,KOI4713,     ,2014,2014,251,251,1.7,1.7,14.5,14.7,R   ,,14.285,13.595,12.741,19.997,0.69,0.921,1.544,5.712,0.026,0.876,374
5940165,14.796,18 55 35.858,+41 13 17.80,283.89937,41.22161,4310,4.576,18556+4113,KOI2031,AB   ,2013,2013,246,246,0.1,0.1,12.5,14.8,K   ,0.05,15.853,14.764,13.025,12.935,1.089,1.511,3.52,2.828,0.069,0.807,159
5940165,14.796,18 55 35.858,+41 13 17.80,283.89937,41.22161,4310,4.576,18556+4113,KOI2031,AC   ,2013,2013,46,46,3.6,3.6,12.3,20.1,K   ,0.05,15.853,14.764,13.025,12.935,1.089,1.511,3.52,2.828,0.069,0.807,159
5940165,14.796,18 55 35.858,+41 13 17.80,283.89937,41.22161,4310,4.576,18556+4113,KOI2031,AD   ,2013,2013,330,330,4.3,4.3,12.3,19.4,K   ,0.05,15.853,14.764,13.025,12.935,1.089,1.511,3.52,2.828,0.069,0.807,159
5940165,14.796,18 55 35.858,+41 13 17.80,283.89937,41.22161,4310,4.576,18556+4113,KOI2031,AE   ,2013,2013,264,264,4.8,4.8,12.3,17,K   ,0.05,15.853,14.764,13.025,12.935,1.089,1.511,3.52,2.828,0.069,0.807,159
5940165,14.796,18 55 35.858,+41 13 17.80,283.89937,41.22161,4310,4.576,18556+4113,KOI2031,AF   ,2013,2013,220,220,6.5,6.5,12.3,17.6,K   ,0.05,15.853,14.764,13.025,12.935,1.089,1.511,3.52,2.828,0.069,0.807,159
7735316,13.813,18 55 55.152,+43 26 07.87,283.97975,43.43547,5811,4.177,18559+4326,DEA 252,     ,1998,2013,174,174,10.8,10.7,13.9,17.2,V   ,0.114,14.237,13.793,12.646,12.621,0.444,0.606,1.968,1.591,,,
4540744,14.623,18 56 24.746,+39 37 38.14,284.10304,39.62725,5386,4.593,18564+3937,DEA 262,     ,1998,2013,168,168,11.1,11,14.9,17.7,V   ,0.095,15.171,14.571,13.33,13.309,0.6,0.782,2.286,1.841,0.056,0.829,41
5166370,14.832,18 56 58.260,+40 19 58.19,284.24279,40.33286,5170,4.43,18569+4019,DEA 334,     ,1998,2013,103,102,14.6,14.5,15.2,19.1,V   ,0.104,15.459,14.792,13.442,,0.667,0.896,2.518,2.017,0.055,0.82,462
4990857,13.383,18 57 09.629,+40 11 50.53,284.29021,40.19747,4626,4.263,18571+4011,DEA 163,     ,1998,2013,30,30,8.1,8.1,13.7,16.6,V   ,0.056,14.22,13.314,11.81,11.752,0.906,1.196,3.069,2.41,0.039,0.88,373
6185476,14.267,18 57 24.487,+41 31 09.12,284.35204,41.51919,4043,4.539,18574+4131,KOI 227,AB   ,2010,2013,69,69,0.3,0.3,14,15,    ,0.033,15.526,14.256,12.279,12.253,1.27,1.799,4.033,3.247,0.129,0.822,168
6185476,14.267,18 57 24.487,+41 31 09.12,284.35204,41.51919,4043,4.539,18574+4131,KOI 227,AC   ,2013,2013,149,149,3.4,3.4,11.5,17.9,K   ,0.033,15.526,14.256,12.279,12.253,1.27,1.799,4.033,3.247,0.129,0.822,168
